iter	Passed	Remaining
0	12	3595
1	22	3299
2	32	3252
3	43	3245
4	54	3235
5	65	3218
6	79	3343
7	91	3353
8	102	3299
9	113	3305
10	124	3268
11	134	3220
12	144	3190
13	156	3203
14	167	3179
15	179	3192
16	190	3165
17	200	3146
18	212	3137
19	228	3196
20	241	3208
21	252	3188
22	262	3161
23	272	3137
24	283	3121
25	293	3095
26	304	3080
27	315	3062
28	326	3047
29	338	3047
30	356	3094
31	371	3108
32	382	3097
33	394	3085
34	405	3072
35	423	3103
36	437	3108
37	448	3092
38	459	3075
39	469	3052
40	479	3029
41	489	3009
42	501	3000
43	512	2980
44	522	2958
45	532	2938
46	542	2920
47	553	2906
48	564	2893
49	579	2896
50	590	2881
51	600	2864
52	612	2853
53	624	2844
54	638	2846
55	651	2839
56	662	2826
57	673	2810
58	688	2812
59	703	2814
60	719	2819
61	735	2821
62	750	2822
63	765	2822
64	776	2807
65	786	2788
66	797	2772
67	809	2760
68	819	2744
69	833	2738
70	847	2732
71	858	2718
72	870	2707
73	880	2690
74	892	2676
75	902	2659
76	912	2643
77	922	2626
78	933	2610
79	944	2597
80	955	2582
81	967	2571
82	977	2555
83	988	2541
84	1000	2530
85	1011	2516
86	1023	2505
87	1036	2497
88	1050	2489
89	1066	2487
90	1077	2475
91	1089	2463
92	1101	2452
93	1112	2438
94	1123	2423
95	1134	2409
96	1144	2395
97	1156	2383
98	1167	2370
99	1178	2356
100	1188	2341
101	1198	2326
102	1208	2311
103	1218	2296
104	1229	2283
105	1246	2281
106	1260	2273
107	1271	2261
108	1283	2248
109	1294	2236
110	1306	2224
111	1317	2210
112	1329	2199
113	1344	2193
114	1360	2188
115	1371	2174
116	1381	2161
117	1392	2147
118	1407	2141
119	1417	2126
120	1429	2114
121	1440	2102
122	1454	2093
123	1467	2083
124	1484	2078
125	1495	2064
126	1505	2050
127	1515	2036
128	1527	2025
129	1538	2011
130	1548	1997
131	1558	1983
132	1569	1970
133	1579	1956
134	1590	1943
135	1600	1930
136	1610	1916
137	1621	1903
138	1633	1891
139	1643	1878
140	1656	1867
141	1669	1857
142	1681	1845
143	1692	1833
144	1702	1819
145	1712	1806
146	1723	1793
147	1734	1781
148	1744	1767
149	1755	1755
150	1766	1742
151	1776	1729
152	1786	1716
153	1796	1702
154	1807	1690
155	1816	1677
156	1827	1664
157	1836	1650
158	1847	1638
159	1860	1627
160	1872	1616
161	1886	1606
162	1896	1594
163	1906	1581
164	1917	1568
165	1927	1556
166	1938	1543
167	1948	1531
168	1959	1519
169	1970	1506
170	1980	1493
171	1990	1481
172	2000	1468
173	2010	1456
174	2022	1444
175	2032	1432
176	2043	1419
177	2053	1407
178	2066	1396
179	2079	1386
180	2091	1375
181	2103	1363
182	2113	1351
183	2123	1338
184	2134	1326
185	2144	1314
186	2155	1302
187	2165	1290
188	2175	1277
189	2186	1266
190	2197	1253
191	2207	1241
192	2216	1228
193	2229	1218
194	2240	1206
195	2250	1194
196	2263	1183
197	2278	1173
198	2289	1162
199	2299	1149
200	2310	1137
201	2321	1126
202	2332	1114
203	2348	1105
204	2360	1093
205	2370	1081
206	2380	1069
207	2391	1057
208	2403	1046
209	2413	1034
210	2423	1022
211	2434	1010
212	2444	998
213	2454	986
214	2465	974
215	2479	964
216	2493	953
217	2506	942
218	2517	931
219	2527	919
220	2537	907
221	2547	895
222	2559	883
223	2569	871
224	2579	859
225	2591	848
226	2601	836
227	2612	824
228	2624	813
229	2636	802
230	2648	791
231	2658	779
232	2669	767
233	2687	758
234	2700	746
235	2711	735
236	2722	723
237	2732	711
238	2742	700
239	2752	688
240	2762	676
241	2773	664
242	2783	652
243	2794	641
244	2803	629
245	2814	617
246	2825	606
247	2836	594
248	2847	583
249	2857	571
250	2867	559
251	2879	548
252	2892	537
253	2906	526
254	2917	514
255	2928	503
256	2938	491
257	2948	480
258	2959	468
259	2969	456
260	2979	445
261	2989	433
262	3000	422
263	3015	411
264	3025	399
265	3036	388
266	3046	376
267	3059	365
268	3073	354
269	3083	342
270	3097	331
271	3110	320
272	3120	308
273	3131	297
274	3141	285
275	3151	274
276	3161	262
277	3171	250
278	3181	239
279	3191	227
280	3201	216
281	3211	204
282	3221	193
283	3232	182
284	3246	170
285	3261	159
286	3276	148
287	3292	137
288	3307	125
289	3345	115
290	3362	103
291	3378	92
292	3395	81
293	3410	69
294	3426	58
295	3440	46
296	3456	34
297	3472	23
298	3489	11
299	3504	0
